지점,지점명,일시,Aerosol,Temp_avg,Temp_min,Temp_max,Humidity,sunshine time,Total daylight hours,cloud cover,cumulative UV,Maximum UV
129,서산,2020-06-16,142.6,22.5,19.4,27.2,74.8,14.7,10.2,6.8,1.472,0.217
129,서산,2020-06-17,82.4,21.6,18,26.7,77.1,14.7,4.6,9.4,0.949,0.169
129,서산,2020-06-18,111.8,21.8,19.7,25.7,76,14.7,0.2,9.4,0.628,0.11
129,서산,2020-06-19,140.2,23.4,19.4,29.3,69,14.7,9.9,5.4,1.266,0.175
129,서산,2020-06-20,96,22.2,17.1,27.3,78.8,14.7,13,1.4,1.478,0.196
129,서산,2020-06-21,130.8,23.4,18.2,31.3,66.4,14.7,12.7,2.1,1.442,0.181
129,서산,2020-06-22,91.3,25.4,17.5,33.7,62.5,14.7,13.4,1.5,1.49,0.203
129,서산,2020-06-23,152.1,24.7,19.8,30.4,70.4,14.7,6.2,8.4,1.007,0.181
129,서산,2020-06-24,71.3,22.5,21.1,25.9,80.1,14.7,0,9.6,0.464,0.113
129,서산,2020-06-25,75.1,20.4,19.2,22.1,93.8,14.7,0,9.3,0.553,0.138
129,서산,2020-06-26,69.7,21.7,18.4,25.6,81.5,14.7,8.4,7.2,1.335,0.211
129,서산,2020-06-27,86,23,18.9,29.5,73,14.7,7.9,5.8,0.932,0.185
129,서산,2020-06-28,117.4,22.7,18.2,29.1,78,14.7,10.3,3.8,1.186,0.202
129,서산,2020-06-29,162.4,21.5,18.3,26.3,88.3,14.7,0.4,9.1,0.433,0.107
129,서산,2020-06-30,7.3,19.1,18.4,20.2,92.4,14.7,0,5.7,0.446,0.099
129,서산,2020-07-01,89.9,20.7,17.1,24.5,86,14.6,1.7,7.9,0.926,0.187
129,서산,2020-07-02,169.2,22.9,19.1,28.8,79.5,14.6,10.4,6.5,1.262,0.211
129,서산,2020-07-03,157.8,22.4,18.8,27.4,76.6,14.6,0.3,9.3,0.697,0.15
129,서산,2020-07-04,140.3,21.7,18.3,27.8,78.4,14.6,5.8,7.1,1.151,0.184
129,서산,2020-07-05,145.2,22,17.7,27.5,79.9,14.6,6.1,7.4,1.434,0.212
129,서산,2020-07-06,103.6,24.1,19.5,30.2,74.5,14.6,7.8,7.3,1.292,0.206
129,서산,2020-07-07,82.6,23.1,19.6,27.2,83.5,14.6,3.4,5.4,1.303,0.193
129,서산,2020-07-08,126.2,23.3,17.4,30.2,80.8,14.6,11.3,4.8,1.418,0.194
129,서산,2020-07-09,234.8,24.6,20,32.1,77.1,14.5,8.9,5.3,1.376,0.192
129,서산,2020-07-10,115.1,25.5,22.3,30.4,73.6,14.5,4.8,8.4,1.098,0.226
129,서산,2020-07-13,1.7,18.7,17.8,19.7,95.3,14.5,0,6,0.324,0.109
129,서산,2020-07-14,5.6,19.5,17.2,21.7,86.1,14.5,0,6.9,0.648,0.132
129,서산,2020-07-15,23.6,21.5,18.1,27.6,79.9,14.4,8.7,3.9,1.272,0.228
129,서산,2020-07-16,51.4,22.5,16.4,28.9,76.1,14.4,11.6,3.1,1.32,0.2
129,서산,2020-07-17,44.6,23.3,17.6,29.8,75.1,14.4,12.2,3.9,1.422,0.192
